tdate,A091220,A091230,A098560,A102110,A105010,A114820,A117690,A123310,A123320,A130680,A133690,A137610,A138520,A138530,A138540,A139220,A139230,A139240,A139250,A139260,A139270,A139280,A139290,A139310,A139320,A143850,A143860,A147970,A150460,A157450,A157490,A157500,A160580,A166400,A174350,A182480,A182490,A192090,A195920,A195930,A203780,A204480,A210780,A211560,A217770,A217780,A217790,A225030,A225040,A225050,A225060,A227540,A227550,A227560,A227570,A228790,A228800,A228810,A228820,A232080,A233160,A236350,A237440,A241180,A243880,A243890,A245340,A245350,A245360,A248260,A248270,A250780,A252000,A252710,A261060,A261070,A261110,A261120,A261140,A267770,A269370,A272580,A275980,A276000,A277630,A277640,A277650,A289250,A289260,A289480,A292150,A292160,A292560,A300610,A302170,A302180,A302190,A305080,A305540,A307510,A307520,A310960,A310970,A315270,A319640,A329200,A329750,A341850,A357870,A360750,A364960,A364970,A364980,A364990,A365000,A365040,A371160,A371450,A371460,A371470,A376410,A377990,A381170,A381180,A387270,A387280
2012-01-31,-75.14914080302364,-62.35043100109774,-84.8495121323293,-79.59267626797015,,,,,,,,,-92.02869893789577,-94.39035347033153,-85.83491033609661,-85.48169513002026,-84.7522397947798,-93.75955571901477,-93.16177909272315,-86.1229684462836,-86.72193318007976,-94.22960617136285,-86.81607472670518,,,,-84.78891813486703,-85.74591310123164,-95.57838229357982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-29,-74.12984608294487,-61.62914565032901,-85.21924443409645,-79.11621278161591,,,,,,,,,-91.72917818751196,-94.63368392817027,-85.66509680271392,-85.60326290252483,-84.26300357960213,-93.69000461021868,-93.19488398399098,-84.85630056895002,-86.37174938169905,-94.69040162989324,-86.54203463707555,,,,-83.99225907493465,-85.56903968260123,-95.78762878716783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-31,-74.18144467812714,-63.747296511452,-84.72342392929437,-78.75090103656156,,,,,,,,,-91.75266360074133,-94.70812674316844,-85.7106842375765,-86.32466110363292,-84.58867857875534,-93.4699544675251,-93.16776388007303,-85.59569623092965,-86.40038501091249,-95.06203734840638,-86.69586798452995,,,,-83.72797281959845,-85.31345497822548,-95.88901393848609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-04-30,-74.84334264764608,-65.81073347442347,-86.09889368412676,-79.7343205513307,,,,,,,,,-91.84201802891954,-94.3281652187174,-85.85153566122055,-86.28740168596443,-84.59535410595727,-93.8945887371948,-92.90023683758169,-86.29864418611085,-87.67026867209896,-95.57646370015989,-87.30947608575576,,,,-84.91622182791662,-75.85903486011584,-95.8723213300424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-05-31,-74.81321159539078,-67.73216738543779,-85.2991480248505,-80.60105151848612,,,,,,,,,-92.0749687072461,-94.9237054039851,-85.75184509730651,-87.1481988943342,-85.7335735694816,-94.31148927093726,-92.97441763379649,-86.66452629647418,-88.14928171429209,-95.63189813864221,-87.09602689755334,,,,-80.85006098163078,-76.65863815815878,-95.47547772279097,,-96.51080090922116,-87.37013622787124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,-74.23286911526164,-67.58483923624233,-85.9963829556116,-80.84214357565153,,,,,,,,,-92.23504938933843,-95.14824491280686,-85.67293179168406,-92.8901400057967,-86.90660568515874,-94.54489887094158,-92.89675449517433,-86.17130793118194,-88.07037217820258,-95.58967582536508,-86.84495952892138,,,,-82.26847976143584,-76.52055938069422,-95.43356739894459,,-96.76740074199188,-86.6096916972788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-31,-74.50642997790997,-68.53652916619103,-87.32868176261532,-80.94908449884475,,,,,,,,,-91.84546273847035,-94.93403476922342,-85.85820669511753,-93.0590425811665,-86.66293446537219,-94.69988555344395,-92.99891917354772,-85.90047806866174,-87.98773782326555,-95.10290445779778,-87.17941458278179,,,,-82.09177949354051,-89.54781756974859,-95.13641269405045,,-96.46961554676912,-86.5132799760494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-08-31,-74.19413199231231,-68.06253376153518,-85.95438887216,-81.27546286508202,,,,,,,,,-92.21610121407268,-94.37089048915462,-85.84424350418145,-93.04741361671415,-86.9292049362595,-94.59238258761549,-92.69559777472934,-86.25317825350584,-88.73126212052743,-95.1681836989195,-86.98454042801089,,,,-82.17161077729524,-89.38630983127219,-94.67614616369436,,-96.49834202675476,-86.51517630083757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-30,-75.35285957511297,-51.39254637098232,-86.67688413970265,-81.2701489581403,,,,,,,,,-92.17691073437662,-94.69243185646377,-86.13220093825566,-92.95214727918012,-87.7841219362381,-94.76782455630328,-93.07056806198965,-86.41055928877809,-88.42301717006957,-95.03272400900016,-87.31688051790579,,,,-82.23065167631158,-89.11842703765443,-94.69363760676168,,-96.3771735125432,-86.31512815382233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-10-31,-75.34331939630655,-52.570122567799565,-87.23907699026785,-81.19732537929015,,,,,,,,,-92.31708934009194,-94.1491439661378,-86.09886721599497,-92.52888495975441,-87.6128663660272,-95.2042927224114,-93.0389940436393,-85.50497303563334,-88.85736504083047,-94.9832337981015,-87.3618625826351,,,,-83.39210708928941,-66.00515858810142,-94.93462962004531,,-96.21009059633094,-86.35944256301447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
